Comment,Designator,Footprint,JLCPCB Part
 CC0402KRX7R9BB102 Unpolarized capacitor, C1,C_0402_1005Metric, C106205
 CC0402KRX7R7BB103 Unpolarized capacitor, C6 C9,C_0402_1005Metric, C327009
 CC0402KRX5R9BB104 Unpolarized capacitor, C2 C3 C4 C10 C11 C13,C_0402_1005Metric, C105882
 CL05A225MQ5NSNC Unpolarized capacitor, C5 C7 C8 C12 C14 C16 C17 C18,C_0402_1005Metric, C12530
 XL-1608SURC-06 Light emitting diode, D3,LED_0603_1608Metric, C965799
 SK6812mini RGB LED with integrated controller, D4,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm, C2886570
" BM08B-SURS-TF(LF)(SN) Generic connector, single row, 01x08, script generated", J1,JST_SUR_BM08B-SURS-TF_1x08-1MP_P0.80mm_Vertical, C5143489
" 4530-BSS138CT-ND 50V Vds, 0.22A Id, N-Channel MOSFET, SOT-23", Q1 Q2,SOT-23, C112239
 RC0402FR-07100RL Resistor, R6 R8,R_0402_1005Metric, C106232
 RC0402FR-07200RL Resistor, R11,R_0402_1005Metric, C114764
 RC0402FR-071KL Resistor, R3 R5 R13 R14 R16,R_0402_1005Metric, C2935237
 RC0402FR-074K7L Resistor, R15,R_0402_1005Metric, C105871
 RC0402FR-0710KL Resistor, R4 R9 R18,R_0402_1005Metric, C60490
 RC0402FR-07100KL Resistor, R1 R2 R7 R12 R17,R_0402_1005Metric, C60491
" HX6206P252MR Positive 60-250mA Low Dropout Regulator, Fixed Output, SOT-23", U2,SOT-23-3, C296238
" MCP6004T-I/SL 1MHz, Low-Power Op Amp, DIP-14/SOIC-14/TSSOP-14", U1,SOIC-14_3.9x8.7mm_P1.27mm, C7378
 TPS60400DBVR, U4,SOT-23-5, C9839
